#
"passage"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1	1	[1]	Ὦ	_	_
1	2	[1]	λαμπρὸν	_	_
1	3	[1]	ὄμμα	_	_
1	4	[1]	τοῦ	_	_
1	5	[1]	τροχηλάτου	_	_
1	6	[1]	λύχνου	_	_
2	1	[1]	κάλλιστʼ	_	_
2	2	[1]	ἐν	_	_
2	3	[1]	εὐστόχοισιν	_	_
2	4	[1]	ἐζητημένον	_	_
2	5	[1]	·	b	_
3	1	[1]	γονάς	_	_
3	2	[1]	τε	_	_
3	3	[1]	γὰρ	_	_
3	4	[1]	σὰς	_	_
3	5	[1]	καὶ	_	_
3	6	[1]	τύχας	_	_
3	7	[1]	δηλώσομεν	_	_
3	8	[1]	·	b	_
4	1	[1]	τροχῷ	_	_
4	2	[1]	γὰρ	_	_
4	3	[1]	ἐλαθεὶς	_	_
4	4	[1]	κεραμικῆς	_	_
4	5	[1]	ῥύμης	_	_
4	6	[1]	ὕπο	_	_
5	1	[1]	μυκτῆρσι	_	_
5	2	[1]	λαμπρὰς	_	_
5	3	[1]	ἡλίου	_	_
5	4	[1]	τιμὰς	_	_
5	5	[1]	ἔχεις	_	_
5	6	[1]	·	b	_
6	1	[1]	ὅρμα	_	_
6	2	[1]	φλογὸς	_	_
6	3	[1]	σημεῖα	_	_
6	4	[1]	τὰ	_	_
6	5	[1]	ξυγκείμενα	_	_
6	6	[1]	.	b	_
7	1	[1]	σοὶ	_	_
7	2	[1]	γὰρ	_	_
7	3	[1]	μόνῳ	_	_
7	4	[1]	δηλοῦμεν	_	_
7	5	[1]	εἰκότως	_	_
7	6	[1]	,	b	_
7	7	[1]	ἐπεὶ	_	_
8	1	[1]	κἀν	_	_
8	2	[1]	τοῖσι	_	_
8	3	[1]	δωματίοισιν	_	_
8	4	[1]	Ἀφροδίτης	_	_
8	5	[1]	τρόπων	_	_
9	1	[1]	πειρωμέναισι	_	_
9	2	[1]	πλησίον	_	_
9	3	[1]	παραστατεῖς	_	_
9	4	[1]	,	b	_
10	1	[1]	λορδουμένων	_	_
10	2	[1]	τε	_	_
10	3	[1]	σωμάτων	_	_
10	4	[1]	ἐπιστάτην	_	_
11	1	[1]	ὀφθαλμὸν	_	_
11	2	[1]	οὐδεὶς	_	_
11	3	[1]	τὸν	_	_
11	4	[1]	σὸν	_	_
11	5	[1]	ἐξείργει	_	_
11	6	[1]	δόμων	_	_
11	7	[1]	.	b	_
12	1	[1]	μόνος	_	_
12	2	[1]	δὲ	_	_
12	3	[1]	μηρῶν	_	_
12	4	[1]	εἰς	_	_
12	5	[1]	ἀπορρήτους	_	_
12	6	[1]	μυχοὺς	_	_
13	1	[1]	λάμπεις	_	_
13	2	[1]	ἀφεύων	_	_
13	3	[1]	τὴν	_	_
13	4	[1]	ἐπανθοῦσαν	_	_
13	5	[1]	τρίχα	_	_
13	6	[1]	·	b	_
14	1	[1]	στοάς	_	_
14	2	[1]	τε	_	_
14	3	[1]	καρποῦ	_	_
14	4	[1]	Βακχίου	_	_
14	5	[2]	τε	_	_
14	6	[1]	νάματος	_	_
15	1	[1]	πλήρεις	_	_
15	2	[1]	ὑποιγνύσαισι	_	_
15	3	[1]	συμπαραστατεῖς	_	_
15	4	[1]	·	b	_
16	1	[1]	καὶ	_	_
16	2	[1]	ταῦτα	_	_
16	3	[1]	συνδρῶν	_	_
16	4	[1]	οὐ	_	_
16	5	[1]	λαλεῖς	_	_
16	6	[1]	τοῖς	_	_
16	7	[1]	πλησίον	_	_
16	8	[1]	.	b	_
17	1	[1]	ἀνθʼ	_	_
17	2	[1]	ὧν	_	_
17	3	[1]	συνείσει	_	_
17	4	[1]	καὶ	_	_
17	5	[1]	τὰ	_	_
17	6	[1]	νῦν	_	_
17	7	[1]	βουλεύματα	_	_
18	1	[1]	ὅσα	_	_
18	2	[1]	Σκίροις	_	_
18	3	[1]	ἔδοξε	_	_
18	4	[1]	ταῖς	_	_
18	5	[1]	ἐμαῖς	_	_
18	6	[1]	φίλαις	_	_
18	7	[1]	.	b	_
19	1	[1]	ἀλλʼ	_	_
19	2	[1]	οὐδεμία	_	_
19	3	[1]	πάρεστιν	_	_
19	4	[1]	ἃς	_	_
19	5	[1]	ἥκειν	_	_
19	6	[1]	ἐχρῆν	_	_
19	7	[1]	.	b	_
20	1	[1]	καίτοι	_	_
20	2	[1]	πρὸς	_	_
20	3	[1]	ὄρθρον	_	_
20	4	[1]	γʼ	_	_
20	5	[1]	ἐστίν	_	_
20	6	[1]	·	b	_
20	7	[1]	ἡ	_	_
20	8	[1]	δʼ	_	_
20	9	[1]	ἐκκλησία	_	_
21	1	[1]	αὐτίκα	_	_
21	2	[1]	μάλʼ	_	_
21	3	[1]	ἔσται	_	_
21	4	[1]	·	b	_
21	5	[1]	καταλαβεῖν	_	_
21	6	[1]	δʼ	_	_
21	7	[1]	ἡμᾶς	_	_
21	8	[1]	ἕδρας	_	_
21	9	[1]	,	b	_
22	1	[1]	ἃς	_	_
22	2	[1]	Φυρόμαχός	_	_
22	3	[1]	ποτʼ	_	_
22	4	[1]	εἶπεν	_	_
22	5	[1]	,	b	_
22	6	[1]	εἰ	_	_
22	7	[1]	μέμνησθʼ	_	_
22	8	[1]	ἔτι	_	_
22	9	[2]	,	b	_
23	1	[1]	δεῖ	_	_
23	2	[1]	τὰς	_	_
23	3	[1]	ἑτέρας	_	_
23	4	[1]	πως	_	_
23	5	[1]	κἀγκαθεζομένας	_	_
23	6	[1]	λαθεῖν	_	_
23	7	[1]	.	b	_
24	1	[1]	τί	_	_
24	2	[1]	δῆτʼ	_	_
24	3	[1]	ἂν	_	_
24	4	[1]	εἴη	_	_
24	5	[1]	;	b	_
24	6	[1]	πότερον	_	_
24	7	[1]	οὐκ	_	_
24	8	[1]	ἐρραμμένους	_	_
25	1	[1]	ἔχουσι	_	_
25	2	[1]	τοὺς	_	_
25	3	[1]	πώγωνας	_	_
25	4	[1]	,	b	_
25	5	[1]	οὓς	_	_
25	6	[1]	εἴρητʼ	_	_
25	7	[1]	ἔχειν	_	_
25	8	[1]	;	b	_
26	1	[1]	ἢ	_	_
26	2	[1]	θαἰμάτια	_	_
26	3	[1]	τἀνδρεῖα	_	_
26	4	[1]	κλεψάσαις	_	_
26	5	[1]	λαθεῖν	_	_
27	1	[1]	ἦν	_	_
27	2	[1]	χαλεπὸν	_	_
27	3	[1]	αὐταῖς	_	_
27	4	[1]	;	b	_
27	5	[1]	ἀλλʼ	_	_
27	6	[1]	ὁρῶ	_	_
27	7	[1]	τονδὶ	_	_
27	8	[1]	λύχνον	_	_
28	1	[1]	προσιόντα	_	_
28	2	[1]	.	b	_
28	3	[1]	φέρε	_	_
28	4	[1]	νυν	_	_
28	5	[1]	ἐπαναχωρήσω	_	_
28	6	[1]	πάλιν	_	_
28	7	[1]	,	b	_
29	1	[1]	μὴ	_	_
29	2	[1]	καί	_	_
29	3	[1]	τις	_	_
29	4	[1]	ὢν	_	_
29	5	[1]	ἀνὴρ	_	_
29	6	[1]	ὁ	_	_
29	7	[1]	προσιὼν	_	_
29	8	[1]	τυγχάνῃ	_	_
29	9	[1]	.	b	_
30	1	[1]	ὥρα	_	_
30	2	[1]	βαδίζειν	_	_
30	3	[1]	,	b	_
30	4	[1]	ὡς	_	_
30	5	[1]	ὁ	_	_
30	6	[1]	κῆρυξ	_	_
30	7	[1]	ἀρτίως	_	_
31	1	[1]	ἡμῶν	_	_
31	2	[1]	προσιουσῶν	_	_
31	3	[1]	δεύτερον	_	_
31	4	[1]	κεκόκκυκεν	_	_
31	5	[1]	.	b	_
32	1	[1]	ἐγὼ	_	_
32	2	[1]	δέ	_	_
32	3	[1]	γʼ	_	_
32	4	[1]	ὑμᾶς	_	_
32	5	[1]	προσδοκῶσʼ	_	_
32	6	[1]	ἠγρηγόρη	_	_
33	1	[1]	τὴν	_	_
33	2	[1]	νύκτα	_	_
33	3	[1]	πᾶσαν	_	_
33	4	[1]	.	b	_
33	5	[1]	ἀλλὰ	_	_
33	6	[1]	φέρε	_	_
33	7	[2]	τὴν	_	_
33	8	[1]	γείτονα	_	_
34	1	[1]	τήνδʼ	_	_
34	2	[1]	ἐκκαλέσωμαι	_	_
34	3	[1]	θρυγονῶσα	_	_
34	4	[1]	τὴν	_	_
34	5	[1]	θύραν	_	_
34	6	[1]	.	b	_
35	1	[1]	δεῖ	_	_
35	2	[1]	γὰρ	_	_
35	3	[1]	τὸν	_	_
35	4	[1]	ἄνδρʼ	_	_
35	5	[1]	αὐτῆς	_	_
35	6	[1]	λαθεῖν	_	_
35	7	[1]	.	b	_
36	1	[1]	ἤκουσά	_	_
36	2	[1]	τοι	_	_
37	1	[1]	ὑποδουμένη	_	_
37	2	[1]	τὸ	_	_
37	3	[1]	κνῦμά	_	_
37	4	[1]	σου	_	_
37	5	[1]	τῶν	_	_
37	6	[1]	δακτύλων	_	_
37	7	[1]	,	b	_
38	1	[1]	ἅτʼ	_	_
38	2	[1]	οὐ	_	_
38	3	[1]	καταδαρθοῦσʼ	_	_
38	4	[1]	.	b	_
38	5	[1]	ὁ	_	_
38	6	[1]	γὰρ	_	_
38	7	[1]	ἀνὴρ	_	_
38	8	[1]	ὦ	_	_
38	9	[1]	φιλτάτη	_	_
38	10	[1]	,	b	_
39	1	[1]	Σαλαμίνιος	_	_
39	2	[1]	γάρ	_	_
39	3	[1]	ἐστιν	_	_
39	4	[1]	ᾧ	_	_
39	5	[1]	ξύνειμʼ	_	_
39	6	[1]	ἐγώ	_	_
39	7	[1]	,	b	_
40	1	[1]	τὴν	_	_
40	2	[1]	νύχθʼ	_	_
40	3	[1]	ὅλην	_	_
40	4	[1]	ἤλαυνέ	_	_
40	5	[1]	μʼ	_	_
40	6	[1]	ἐν	_	_
40	7	[1]	τοῖς	_	_
40	8	[1]	στρώμασιν	_	_
40	9	[1]	,	b	_
40	10	[1]	ὥστʼ	_	_
40	11	[1]	ἄρτι	_	_
40	12	[1]	τουτὶ	_	_
40	13	[1]	θοἰμάτιον	_	_
40	14	[1]	αὐτοῦ	_	_
40	15	[1]	ʼλαβον	_	_
40	16	[1]	.	b	_
41	1	[1]	καὶ	_	_
41	2	[1]	μὴν	_	_
41	3	[1]	ὁρῶ	_	_
41	4	[2]	καὶ	_	_
41	5	[1]	Κλειναρέτην	_	_
41	6	[3]	καὶ	_	_
41	7	[1]	Σωστράτην	_	_
42	1	[1]	προσιοῦσαν	_	_
42	2	[1]	ἤδη	_	_
42	3	[1]	τήνδε	_	_
42	4	[1]	καὶ	_	_
42	5	[1]	Φιλαινέτην	_	_
42	6	[1]	.	b	_
43	1	[1]	οὔκουν	_	_
43	2	[1]	ἐπείξεσθʼ	_	_
43	3	[1]	;	b	_
43	4	[1]	ὡς	_	_
43	5	[1]	Γλύκη	_	_
43	6	[1]	κατώμοσεν	_	_
44	1	[1]	τὴν	_	_
44	2	[1]	ὑστάτην	_	_
44	3	[1]	ἥκουσαν	_	_
44	4	[1]	οἴνου	_	_
44	5	[1]	τρεῖς	_	_
44	6	[1]	χοᾶς	_	_
45	1	[1]	ἡμῶν	_	_
45	2	[1]	ἀποτείσειν	_	_
45	3	[1]	κἀρεβίνθων	_	_
45	4	[1]	χοίνικα	_	_
45	5	[1]	.	b	_
46	1	[1]	τὴν	_	_
46	2	[1]	Σμικυθίωνος	_	_
46	3	[1]	δʼ	_	_
46	4	[1]	οὐχ	_	_
46	5	[1]	ὁρᾷς	_	_
46	6	[1]	Μελιστίχην	_	_
47	1	[1]	σπεύδουσαν	_	_
47	2	[1]	ἐν	_	_
47	3	[1]	ταῖς	_	_
47	4	[1]	ἐμβάσιν	_	_
47	5	[1]	;	b	_
48	1	[1]	καίτοι	_	_
48	2	[1]	δοκεῖ	_	_
49	1	[1]	κατὰ	_	_
49	2	[1]	σχολὴν	_	_
49	3	[1]	παρὰ	_	_
49	4	[1]	τἀνδρὸς	_	_
49	5	[1]	ἐξελθεῖν	_	_
49	6	[1]	μόνη	_	_
49	7	[1]	.	b	_
50	1	[1]	τὴν	_	_
50	2	[1]	τοῦ	_	_
50	3	[1]	καπήλου	_	_
50	4	[1]	δʼ	_	_
50	5	[1]	οὐχ	_	_
50	6	[1]	ὁρᾷς	_	_
50	7	[1]	Γευσιστράτην	_	_
50	8	[1]	ἔχουσαν	_	_
50	9	[1]	ἐν	_	_
50	10	[1]	τῇ	_	_
50	11	[1]	δεξιᾷ	_	_
50	12	[2]	τὴν	_	_
50	13	[1]	λαμπάδα	_	_
50	14	[1]	;	b	_
51	1	[1]	καὶ	_	_
51	2	[1]	τὴν	_	_
51	3	[1]	Φιλοδωρήτου	_	_
51	4	[1]	τε	_	_
51	5	[2]	καὶ	_	_
51	6	[1]	Χαιρητάδου	_	_
52	1	[1]	ὁρῶ	_	_
52	2	[1]	προσιούσας	_	_
52	3	[1]	χἀτέρας	_	_
52	4	[1]	πολλὰς	_	_
52	5	[1]	πάνυ	_	_
53	1	[1]	γυναῖκας	_	_
53	2	[1]	,	b	_
53	3	[1]	ὅ	_	_
53	4	[1]	τι	_	_
53	5	[1]	πέρ	_	_
53	6	[1]	ἐστʼ	_	_
53	7	[1]	ὄφελος	_	_
53	8	[1]	ἐν	_	_
53	9	[1]	τῇ	_	_
53	10	[1]	πόλει	_	_
53	11	[1]	.	b	_
54	1	[1]	καὶ	_	_
54	2	[1]	πάνυ	_	_
54	3	[1]	ταλαιπώρως	_	_
54	4	[1]	ἔγωγʼ	_	_
54	5	[1]	ὦ	_	_
54	6	[1]	φιλτάτη	_	_
55	1	[1]	ἐκδρᾶσα	_	_
55	2	[1]	παρέδυν	_	_
55	3	[1]	.	b	_
55	4	[1]	ὁ	_	_
55	5	[1]	γὰρ	_	_
55	6	[1]	ἀνὴρ	_	_
55	7	[1]	τὴν	_	_
55	8	[1]	νύχθʼ	_	_
55	9	[1]	ὅλην	_	_
56	1	[1]	ἔβηττε	_	_
56	2	[1]	τριχίδων	_	_
56	3	[1]	ἑσπέρας	_	_
56	4	[1]	ἐμπλήμενος	_	_
56	5	[1]	.	b	_
57	1	[1]	κάθησθε	_	_
57	2	[1]	τοίνυν	_	_
57	3	[1]	,	b	_
