# urn:cts:greekLit:tlg0059.tlg030.perseus-grc2 

"cts"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1.327a	1	[1]	κατέβην	_	_
1.327a	2	[1]	χθὲς	_	_
1.327a	3	[1]	εἰς	_	_
1.327a	4	[1]	Πειραιᾶ	_	_
1.327a	5	[1]	μετὰ	_	_
1.327a	6	[1]	Γλαύκωνος	_	_
1.327a	7	[1]	τοῦ	_	_
1.327a	8	[1]	Ἀρίστωνος	_	_
1.327a	9	[1]	προσευξόμενός	_	_
1.327a	10	[1]	τε	_	_
1.327a	11	[1]	τῇ	_	_
1.327a	12	[1]	θεῷ	_	_
1.327a	13	[1]	καὶ	_	_
1.327a	14	[1]	ἅμα	_	_
1.327a	15	[1]	τὴν	_	_
1.327a	16	[1]	ἑορτὴν	_	_
1.327a	17	[1]	βουλόμενος	_	_
1.327a	18	[1]	θεάσασθαι	_	_
1.327a	19	[1]	τίνα	_	_
1.327a	20	[1]	τρόπον	_	_
1.327a	21	[1]	ποιήσουσιν	_	_
1.327a	22	[1]	ἅτε	_	_
1.327a	23	[1]	νῦν	_	_
1.327a	24	[1]	πρῶτον	_	_
1.327a	25	[1]	ἄγοντες	_	_
1.327a	26	[1]	.	b	_
1.327a	27	[1]	καλὴ	_	_
1.327a	28	[1]	μὲν	_	_
1.327a	29	[1]	οὖν	_	_
1.327a	30	[1]	μοι	_	_
1.327a	31	[2]	καὶ	_	_
1.327a	32	[1]	ἡ	_	_
1.327a	33	[1]	τῶν	_	_
1.327a	34	[1]	ἐπιχωρίων	_	_
1.327a	35	[1]	πομπὴ	_	_
1.327a	36	[1]	ἔδοξεν	_	_
1.327a	37	[1]	εἶναι	_	_
1.327a	38	[1]	,	b	_
1.327a	39	[1]	οὐ	_	_
1.327a	40	[1]	μέντοι	_	_
1.327a	41	[1]	ἧττον	_	_
1.327a	42	[1]	ἐφαίνετο	_	_
1.327a	43	[1]	πρέπειν	_	_
1.327a	44	[1]	ἣν	_	_
1.327a	45	[1]	οἱ	_	_
1.327a	46	[1]	Θρᾷκες	_	_
1.327a	47	[1]	ἔπεμπον	_	_
1.327a	48	[2]	.	b	_
1.327b	1	[1]	προσευξάμενοι	_	_
1.327b	2	[1]	δὲ	_	_
1.327b	3	[1]	καὶ	_	_
