# urn:cts:greekLit:tlg0059.tlg037.First1K-grc1 

"cts"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1	1	[1]	ΟΡΟΙ	_	_
1	2	[1]	Ἀίδιον	_	_
1	3	[1]	τὸ	_	_
1	4	[1]	κατὰ	_	_
1	5	[1]	πάντα	_	_
1	6	[1]	χρόνον	_	_
1	7	[1]	καὶ	_	_
1	8	[1]	πρότερον	_	_
1	9	[1]	ὂν	_	_
1	10	[2]	καὶ	_	_
1	11	[1]	νῦν	_	_
1	12	[1]	μὴ	_	_
1	13	[1]	ἐφθαρμένον	_	_
1	14	[1]	.	b	_
1	15	[1]	Θεὸς	_	_
1	16	[1]	ζῷον	_	_
1	17	[1]	ἀθάνατον	_	_
1	18	[1]	,	b	_
1	19	[1]	αὔταρκες	_	_
1	20	[1]	πρὸς	_	_
1	21	[1]	εὐδαιμονίαν	_	_
1	22	[1]	·	b	_
1	23	[1]	οὐσία	_	_
1	24	[1]	ἀίδιος	_	_
1	25	[2]	,	b	_
1	26	[1]	τῆς	_	_
1	27	[1]	τἀγαθοῦ	_	_
1	28	[1]	φύσεως	_	_
1	29	[1]	αἰτία	_	_
1	30	[2]	.	b	_
1	31	[1]	Γένεσις	_	_
1	32	[1]	κίνησις	_	_
1	33	[1]	εἰς	_	_
1	34	[1]	οὐσίαν	_	_
1	35	[2]	·	b	_
1	36	[1]	μετάληψις	_	_
1	37	[1]	οὐσίας	_	_
1	38	[3]	·	b	_
1	39	[1]	πόρευσις	_	_
1	40	[2]	εἰς	_	_
1	41	[2]	τὸ	_	_
1	42	[1]	εἶναι	_	_
1	43	[3]	.	b	_
1	44	[1]	Ἥλιος	_	_
1	45	[1]	πῦρ	_	_
1	46	[1]	οὐράνιον	_	_
1	47	[4]	·	b	_
1	48	[1]	ὃ	_	_
1	49	[1]	μόνον	_	_
1	50	[1]	ἀπʼ	_	_
1	51	[1]	ἠοῦς	_	_
1	52	[1]	μέχρι	_	_
1	53	[1]	δείλης	_	_
1	54	[1]	τοῖς	_	_
