#  

"cts"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1	1	[1]	δορις	_	_
1	2	[1]	ανδ	_	_
1	3	[1]	γαλαταεα	_	_
1.288	1	[1]	Δῶρις	_	_
1.288	2	[1]	καλὸν	_	_
1.288	3	[1]	ἐραστήν	_	_
1.288	4	[1]	,	b	_
1.288	5	[1]	ὦ	_	_
1.288	6	[1]	Γαλάτεια	_	_
1.288	7	[2]	,	b	_
1.288	8	[1]	τὸν	_	_
1.288	9	[1]	Σικελὸν	_	_
1.288	10	[1]	τοῦτον	_	_
1.288	11	[1]	ποιμένα	_	_
1.288	12	[1]	φασὶν	_	_
1.288	13	[1]	ἐπιμεμηνέναι	_	_
1.288	14	[1]	σοί	_	_
1.288	15	[1]	.	b	_
1.288	16	[1]	μὴ	_	_
1.288	17	[1]	σκῶπτε	_	_
1.288	18	[3]	,	b	_
1.288	19	[1]	Δωρί	_	_
1.288	20	[1]	·	b	_
1.288	21	[1]	Ποσειδῶνος	_	_
1.288	22	[1]	γαρ	_	_
1.288	23	[1]	υἱός	_	_
1.288	24	[1]	ἐστιν	_	_
1.288	25	[4]	,	b	_
1.288	26	[1]	ὁποῖος	_	_
1.288	27	[1]	ἂν	_	_
1.288	28	[1]	ᾖ	_	_
1.288	29	[2]	Δῶρις	_	_
1.288	30	[1]	τί	_	_
1.288	31	[1]	οὖν	_	_
1.288	32	[1]	;	b	_
1.288	33	[1]	εἰ	_	_
1.288	34	[1]	καὶ	_	_
1.288	35	[1]	τοῦ	_	_
1.288	36	[1]	Διὸς	_	_
1.288	37	[1]	αὐτοῦ	_	_
1.288	38	[1]	παῖς	_	_
1.288	39	[1]	ὢν	_	_
1.288	40	[1]	ἄγριος	_	_
1.288	41	[1]	οὕτω	_	_
1.288	42	[2]	καὶ	_	_
1.288	43	[1]	λάσιος	_	_
1.288	44	[1]	ἐφαίνετο	_	_
1.288	45	[1]	καί	_	_
1.288	46	[5]	,	b	_
1.288	47	[1]	τὸ	_	_
1.288	48	[1]	πάντων	_	_
1.288	49	[1]	ἀμορφότατον	_	_
1.288	50	[6]	,	b	_
1.288	51	[1]	μονόφθαλμος	_	_
1.288	52	[7]	,	b	_
1.288	53	[1]	οἴει	_	_
1.288	54	[2]	τὸ	_	_
1.288	55	[1]	γένος	_	_
1.288	56	[1]	ἄν	_	_
1.288	57	[1]	τι	_	_
1.288	58	[1]	ὀνῆσαι	_	_
1.288	59	[1]	αὐτὸν	_	_
1.288	60	[1]	πρὸς	_	_
1.288	61	[1]	τὴν	_	_
1.288	62	[1]	μορφήν	_	_
1.288	63	[2]	;	b	_
1.288	64	[1]	οὐδὲ	_	_
1.288	65	[3]	τὸ	_	_
1.288	66	[1]	λάσιον	_	_
1.288	67	[2]	αὐτοῦ	_	_
1.288	68	[2]	καί	_	_
1.288	69	[8]	,	b	_
1.288	70	[1]	ὡς	_	_
1.288	71	[1]	φής	_	_
1.288	72	[9]	,	b	_
1.288	73	[1]	ἄγριον	_	_
1.288	74	[1]	ἄμορφόν	_	_
1.288	75	[2]	ἐστιν	_	_
1.288	76	[1]	—	a	_
1.288	77	[1]	ἀνδρῶδες	_	_
1.288	78	[1]	γάρ	_	_
1.288	79	[2]	—	a	_
1.288	80	[1]	ὅ	_	_
1.288	81	[1]	τε	_	_
1.288	82	[1]	ὀφθαλμὸς	_	_
1.288	83	[1]	ἐπιπρέπει	_	_
1.288	84	[1]	τῷ	_	_
1.288	85	[1]	μετώπῳ	_	_
1.288	86	[1]	οὐδὲν	_	_
1.288	87	[1]	ἐνδεέστερον	_	_
1.288	88	[1]	ὁρῶν	_	_
1.288	89	[1]	ἢ	_	_
1.288	90	[2]	εἰ	_	_
1.288	91	[1]	δύʼ	_	_
1.288	92	[1]	ἦσαν	_	_
1.288	93	[2]	.	b	_
1.288	94	[3]	Δῶρις	_	_
1.288	95	[1]	ἔοικας	_	_
1.288	96	[10]	,	b	_
1.288	97	[2]	ὦ	_	_
1.288	98	[2]	Γαλάτεια	_	_
1.288	99	[11]	,	b	_
1.288	100	[1]	οὐκ	_	_
1.288	101	[1]	ἐραστὴν	_	_
1.288	102	[1]	ἀλλʼ	_	_
1.288	103	[1]	ἐρώμενον	_	_
1.288	104	[1]	ἔχειν	_	_
1.288	105	[2]	τὸν	_	_
1.288	106	[1]	Πολύφημον	_	_
1.288	107	[12]	,	b	_
1.288	108	[1]	οἷα	_	_
1.288	109	[1]	ἐπαινεῖς	_	_
1.288	110	[1]	αὐτόν	_	_
1.288	111	[3]	.	b	_
1.288	112	[2]	οὐκ	_	_
1.288	113	[2]	ἐρώμενον	_	_
1.288	114	[13]	,	b	_
1.288	115	[1]	ἀλλὰ	_	_
1.288	116	[4]	τὸ	_	_
1.288	117	[1]	πάνυ	_	_
1.288	118	[1]	ὀνειδιστικὸν	_	_
1.289	1	[1]	τοῦτο	_	_
1.289	2	[1]	οὐ	_	_
1.289	3	[1]	φέρω	_	_
1.289	4	[1]	ὑμῶν	_	_
1.289	5	[1]	,	b	_
1.289	6	[1]	καί	_	_
1.289	7	[1]	μοι	_	_
1.289	8	[1]	δοκεῖτε	_	_
1.289	9	[1]	ὑπὸ	_	_
1.289	10	[1]	φθόνου	_	_
1.289	11	[1]	αὐτὸ	_	_
1.289	12	[1]	ποιεῖν	_	_
1.289	13	[2]	,	b	_
1.289	14	[1]	ὅτι	_	_
1.289	15	[1]	ποιμαίνων	_	_
1.289	16	[1]	ποτὲ	_	_
1.289	17	[1]	ἀπὸ	_	_
1.289	18	[1]	τῆς	_	_
1.289	19	[1]	σκοπῆς	_	_
1.289	20	[1]	παιζούσας	_	_
1.289	21	[1]	ἡμᾶς	_	_
1.289	22	[1]	ἰδὼν	_	_
1.289	23	[1]	ἐπὶ	_	_
1.289	24	[2]	τῆς	_	_
1.289	25	[1]	ᾐόνος	_	_
1.289	26	[1]	ἐν	_	_
1.289	27	[1]	τοῖς	_	_
1.289	28	[1]	πρόποσι	_	_
1.289	29	[3]	τῆς	_	_
1.289	30	[1]	Αἴτνης	_	_
1.289	31	[3]	,	b	_
1.289	32	[1]	καθʼ	_	_
1.289	33	[1]	ὃ	_	_
1.289	34	[1]	μεταξὺ	_	_
1.289	35	[1]	τοῦ	_	_
1.289	36	[1]	ὄρους	_	_
1.289	37	[1]	καὶ	_	_
1.289	38	[4]	τῆς	_	_
1.289	39	[1]	θαλάττης	_	_
1.289	40	[1]	αἰγιαλὸς	_	_
1.289	41	[1]	ἀπομηκύνεται	_	_
1.289	42	[4]	,	b	_
1.289	43	[1]	ὑμᾶς	_	_
1.289	44	[1]	μὲν	_	_
1.289	45	[1]	οὐδὲ	_	_
1.289	46	[1]	προσέβλεψεν	_	_
1.289	47	[5]	,	b	_
1.289	48	[1]	ἐγὼ	_	_
1.289	49	[1]	δὲ	_	_
1.289	50	[1]	ἐξ	_	_
1.289	51	[1]	ἁπασῶν	_	_
1.289	52	[1]	ἡ	_	_
1.289	53	[1]	καλλίστη	_	_
1.289	54	[1]	ἔδοξα	_	_
1.289	55	[6]	,	b	_
1.289	56	[2]	καὶ	_	_
1.289	57	[1]	μόνῃ	_	_
1.289	58	[1]	ἐμοὶ	_	_
1.289	59	[1]	ἐπεῖχε	_	_
1.289	60	[1]	τὸν	_	_
1.289	61	[1]	ὀφθαλμόν	_	_
1.289	62	[1]	.	b	_
1.289	63	[1]	ταῦτα	_	_
1.289	64	[2]	ὑμᾶς	_	_
1.289	65	[1]	ἀνιᾷ	_	_
1.289	66	[1]	·	b	_
1.289	67	[1]	δεῖγμα	_	_
1.289	68	[1]	γάρ	_	_
1.289	69	[7]	,	b	_
1.289	70	[1]	ὡς	_	_
1.289	71	[1]	ἀμείνων	_	_
1.289	72	[1]	εἰμὶ	_	_
1.289	73	[3]	καὶ	_	_
1.289	74	[1]	ἀξιέραστος	_	_
1.289	75	[8]	,	b	_
1.289	76	[1]	ὑμεῖς	_	_
1.289	77	[2]	δὲ	_	_
1.289	78	[1]	παρώφθητε	_	_
1.289	79	[2]	.	b	_
1.289	80	[1]	Δῶρις	_	_
1.289	81	[1]	εἰ	_	_
1.289	82	[1]	ποιμένι	_	_
1.289	83	[4]	καὶ	_	_
1.289	84	[1]	ἐνδεεῖ	_	_
1.289	85	[1]	τὴν	_	_
1.289	86	[1]	ὄψιν	_	_
1.289	87	[1]	καλὴ	_	_
1.289	88	[1]	ἔδοξας	_	_
1.289	89	[9]	,	b	_
1.289	90	[1]	ἐπίφθονος	_	_
1.289	91	[1]	οἴει	_	_
1.289	92	[1]	γεγονέναι	_	_
1.289	93	[1]	;	b	_
1.289	94	[1]	καίτοι	_	_
1.289	95	[1]	τί	_	_
1.289	96	[1]	ἄλλο	_	_
1.289	97	[2]	ἐν	_	_
1.289	98	[1]	σοὶ	_	_
1.289	99	[1]	ἐπαινέσαι	_	_
1.289	100	[1]	εἶχεν	_	_
1.289	101	[1]	ἢ	_	_
1.289	102	[1]	τὸ	_	_
1.289	103	[1]	λευκὸν	_	_
1.289	104	[1]	μόνον	_	_
1.289	105	[2]	;	b	_
1.289	106	[5]	καὶ	_	_
1.289	107	[2]	τοῦτο	_	_
1.289	108	[10]	,	b	_
1.289	109	[1]	οἶμαι	_	_
1.289	110	[11]	,	b	_
1.289	111	[2]	ὅτι	_	_
1.289	112	[1]	ξυνήθης	_	_
1.289	113	[1]	ἐστὶ	_	_
1.289	114	[1]	τυρῷ	_	_
1.289	115	[6]	καὶ	_	_
1.289	116	[1]	γάλακτι	_	_
1.289	117	[2]	·	b	_
1.289	118	[1]	πάντα	_	_
1.289	119	[1]	οὖν	_	_
1.289	120	[1]	τὰ	_	_
1.289	121	[1]	ὅμοια	_	_
1.289	122	[1]	τούτοις	_	_
1.289	123	[1]	ἡγεῖται	_	_
1.289	124	[1]	καλά	_	_
1.289	125	[3]	.	b	_
1.289	126	[1]	ἐπεὶ	_	_
1.289	127	[1]	τά	_	_
1.289	128	[1]	γε	_	_
1.289	129	[1]	ἄλλα	_	_
1.289	130	[1]	ὁπόταν	_	_
1.289	131	[1]	ἐθελήσῃς	_	_
1.289	132	[1]	μαθεῖν	_	_
1.289	133	[12]	,	b	_
1.289	134	[1]	οἵα	_	_
1.289	135	[1]	τυγχάνεις	_	_
1.289	136	[1]	οὖσα	_	_
1.289	137	[2]	τὴν	_	_
1.289	138	[2]	ὄψιν	_	_
1.289	139	[13]	,	b	_
1.289	140	[2]	ἀπὸ	_	_
1.289	141	[1]	πέτρας	_	_
1.290	1	[1]	τινός	_	_
1.290	2	[1]	,	b	_
1.290	3	[1]	εἴ	_	_
1.290	4	[1]	ποτε	_	_
1.290	5	[1]	γαλήνη	_	_
