#urn:cts:greekLit:tl0074.tlg002.perseus-grc1
"passage"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1.1	1	[1]	τὰ	_	_
1.1	2	[1]	ἔξω	_	_
1.1	3	[1]	τοῦ	_	_
1.1	4	[1]	Ἰνδοῦ	_	_
1.1	5	[1]	ποταμοῦ	_	_
1.1	6	[2]	τὰ	_	_
1.1	7	[1]	πρὸς	_	_
1.1	8	[1]	ἑσπέρην	_	_
1.1	9	[1]	ἔστε	_	_
1.1	10	[1]	ἐπὶ	_	_
1.1	11	[1]	ποταμὸν	_	_
1.1	12	[1]	Κωφῆνα	_	_
1.1	13	[1]	Ἀστακηνοὶ	_	_
1.1	14	[1]	καὶ	_	_
1.1	15	[1]	Ἀσσακηνοί	_	_
1.1	16	[1]	,	b	_
1.1	17	[1]	ἔθνεα	_	_
1.1	18	[1]	Ἰνδικά	_	_
1.1	19	[2]	,	b	_
1.1	20	[1]	ἐποικέουσιν	_	_
1.1	21	[1]	.	b	_
1.2	1	[1]	ἀλλὰ	_	_
1.2	2	[1]	οὔτε	_	_
1.2	3	[1]	μεγάλοι	_	_
1.2	4	[1]	τὰ	_	_
1.2	5	[1]	σώματα	_	_
1.2	6	[1]	,	b	_
1.2	7	[1]	κατάπερ	_	_
1.2	8	[1]	οἱ	_	_
1.2	9	[1]	ἐντὸς	_	_
1.2	10	[1]	τοῦ	_	_
1.2	11	[1]	Ἰνδοῦ	_	_
1.2	12	[1]	ᾠκισμένοι	_	_
1.2	13	[2]	,	b	_
1.2	14	[2]	οὔτε	_	_
1.2	15	[1]	ἀγαθοὶ	_	_
1.2	16	[1]	ὡσαύτως	_	_
1.2	17	[1]	τὸν	_	_
1.2	18	[1]	θυμὸν	_	_
1.2	19	[1]	οὐδὲ	_	_
1.2	20	[1]	μέλανες	_	_
1.2	21	[2]	ὡσαύτως	_	_
1.2	22	[1]	τοῖσι	_	_
1.2	23	[1]	πολλοῖσιν	_	_
1.2	24	[1]	Ἰνδοῖσιν	_	_
1.2	25	[1]	.	b	_
1.3	1	[1]	οὗτοι	_	_
1.3	2	[1]	πάλαι	_	_
1.3	3	[1]	μὲν	_	_
1.3	4	[1]	Ἀσσυρίοισιν	_	_
1.3	5	[1]	ὑπήκοοι	_	_
1.3	6	[1]	ἦσαν	_	_
1.3	7	[1]	·	b	_
1.3	8	[1]	ἐπὶ	_	_
1.3	9	[1]	δὲ	_	_
1.3	10	[1]	Μήδοισι	_	_
1.3	11	[1]	Περσέων	_	_
1.3	12	[1]	ἤκουον	_	_
1.3	13	[1]	,	b	_
1.3	14	[1]	καὶ	_	_
1.3	15	[1]	φόρους	_	_
1.3	16	[1]	ἀπέφερον	_	_
1.3	17	[1]	Κύρῳ	_	_
1.3	18	[1]	τῷ	_	_
1.3	19	[1]	Καμβύσεω	_	_
1.3	20	[1]	ἐκ	_	_
1.3	21	[1]	τῆς	_	_
1.3	22	[1]	γῆς	_	_
1.3	23	[1]	σφῶν	_	_
1.3	24	[2]	,	b	_
1.3	25	[1]	οὓς	_	_
1.3	26	[1]	ἔταξε	_	_
1.3	27	[1]	Κῦρος	_	_
1.3	28	[1]	.	b	_
1.4	1	[1]	Νυσαῖοι	_	_
1.4	2	[1]	δὲ	_	_
1.4	3	[1]	οὐκ	_	_
1.4	4	[1]	Ἰνδικὸν	_	_
1.4	5	[1]	γένος	_	_
1.4	6	[1]	ἐστίν	_	_
1.4	7	[1]	,	b	_
1.4	8	[1]	ἀλλὰ	_	_
1.4	9	[1]	τῶν	_	_
1.4	10	[1]	ἅμα	_	_
1.4	11	[1]	Διονύσῳ	_	_
1.4	12	[1]	ἐλθόντων	_	_
1.4	13	[1]	ἐς	_	_
1.4	14	[1]	τὴν	_	_
1.4	15	[1]	γῆν	_	_
1.4	16	[2]	τὴν	_	_
1.4	17	[1]	Ἰνδῶν	_	_
1.4	18	[2]	,	b	_
1.4	19	[1]	τυχὸν	_	_
1.4	20	[1]	μὲν	_	_
1.4	21	[1]	Ἑλλήνων	_	_
1.4	22	[3]	,	b	_
1.4	23	[1]	ὅσοι	_	_
1.4	24	[1]	ἀπόμαχοι	_	_
1.4	25	[1]	αὐτῶν	_	_
1.4	26	[1]	ἐγένοντο	_	_
1.4	27	[1]	ἐν	_	_
1.4	28	[1]	τοῖσι	_	_
1.4	29	[1]	πολέμοισιν	_	_
1.4	30	[1]	οὕστινας	_	_
1.4	31	[1]	πρὸς	_	_
1.4	32	[1]	Ἰνδοὺς	_	_
1.4	33	[1]	Διόνυσος	_	_
1.4	34	[1]	ἐπολέμησε	_	_
1.4	35	[4]	,	b	_
1.4	36	[2]	τυχὸν	_	_
1.4	37	[2]	δὲ	_	_
1.4	38	[1]	καὶ	_	_
1.4	39	[2]	τῶν	_	_
1.4	40	[1]	ἐπιχωρίων	_	_
1.4	41	[1]	.	b	_
1.5	1	[1]	τοὺς	_	_
1.5	2	[1]	ἐθέλοντας	_	_
1.5	3	[1]	τοῖσιν	_	_
1.5	4	[1]	Ἕλλησι	_	_
1.5	5	[1]	συνῴκισε	_	_
1.5	6	[1]	,	b	_
1.5	7	[1]	τήν	_	_
1.5	8	[1]	τε	_	_
1.5	9	[1]	χώρην	_	_
1.5	10	[1]	Νυσαίην	_	_
1.5	11	[1]	ὠνόμασεν	_	_
1.5	12	[1]	ἀπὸ	_	_
1.5	13	[1]	τοῦ	_	_
1.5	14	[1]	οὔρεος	_	_
1.5	15	[1]	τῆς	_	_
1.5	16	[1]	Νύσης	_	_
1.5	17	[1]	Διόνυσος	_	_
1.5	18	[2]	,	b	_
1.5	19	[1]	καὶ	_	_
1.5	20	[1]	τὴν	_	_
