#urn:cts:greekLit:tlg0358.tlg005.1st1K
"passage"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1	1	[1]	ΠΡΟΒΛΗΜΑΤΑ	_	_
1	2	[1]	ΑΡΙΘΜΗΤΙΚΑ	_	_
1	3	[1]	.	b	_
1	4	[1]	α	_	_
1	5	[2]	.	b	_
1	6	[1]	ΤΟΤ	_	_
1	7	[1]	ΚΥΝΟΣ	_	_
1	8	[3]	.	b	_
1	9	[1]	Δοθέντων	_	_
1	10	[1]	ἀπὸ	_	_
1	11	[1]	μονάδος	_	_
1	12	[1]	ὁποσωνοῦν	_	_
1	13	[1]	ἀριθμῶν	_	_
1	14	[1]	ἐφεξῆς	_	_
1	15	[1]	εὑρεῖν	_	_
1	16	[1]	,	b	_
1	17	[1]	ὅσος	_	_
1	18	[1]	ἐστὶν	_	_
1	19	[1]	ὁ	_	_
1	20	[1]	σύμπας	_	_
1	21	[4]	.	b	_
1	22	[1]	Ἔστωσαν	_	_
1	23	[2]	ἀπὸ	_	_
1	24	[2]	μονάδος	_	_
1	25	[1]	τῆς	_	_
1	26	[2]	α	_	_
1	27	[2]	ἐφεξῆς	_	_
1	28	[1]	οἱ	_	_
1	29	[1]	β	_	_
1	30	[2]	,	b	_
1	31	[1]	γ	_	_
1	32	[3]	,	b	_
1	33	[1]	δ	_	_
1	34	[4]	,	b	_
1	35	[1]	ε	_	_
1	36	[5]	,	b	_
1	37	[1]	ζ	_	_
1	38	[6]	,	b	_
1	39	[1]	η	_	_
1	40	[7]	,	b	_
1	41	[1]	θ	_	_
1	42	[8]	,	b	_
1	43	[1]	ι	_	_
1	44	[1]	·	b	_
1	45	[1]	ἢ	_	_
1	46	[1]	δὴ	_	_
1	47	[1]	ἄρτιόν	_	_
1	48	[1]	ἐστι	_	_
1	49	[1]	τὸ	_	_
1	50	[1]	πλῆθος	_	_
1	51	[1]	αὐτῶν	_	_
1	52	[2]	ἢ	_	_
1	53	[1]	περιττόν	_	_
1	54	[2]	·	b	_
1	55	[1]	ἔστω	_	_
1	56	[1]	πρῶτον	_	_
1	57	[2]	περιττόν	_	_
1	58	[3]	·	b	_
1	59	[1]	φανερὸν	_	_
1	60	[1]	δή	_	_
1	61	[9]	,	b	_
1	62	[1]	ὅτι	_	_
1	63	[2]	οἱ	_	_
1	64	[1]	μὲν	_	_
1	65	[3]	α	_	_
1	66	[2]	ι	_	_
1	67	[1]	διπλάσιοί	_	_
1	68	[1]	εἰσι	_	_
1	69	[1]	τοῦ	_	_
1	70	[2]	ε	_	_
1	71	[10]	,	b	_
1	72	[3]	οἱ	_	_
1	73	[1]	δὲ	_	_
1	74	[2]	β	_	_
1	75	[2]	θ	_	_
1	76	[2]	τοῦ	_	_
1	77	[3]	ε	_	_
1	78	[1]	καὶ	_	_
1	79	[3]	ἐφεξῆς	_	_
1	80	[1]	ὅσον	_	_
1	81	[1]	ἄρα	_	_
1	82	[1]	ἐστὶ	_	_
1	83	[2]	τὸ	_	_
1	84	[2]	πλῆθος	_	_
1	85	[1]	πάντων	_	_
1	86	[11]	,	b	_
1	87	[1]	τοσαυταπλασίων	_	_
1	88	[2]	ἐστὶν	_	_
1	89	[2]	ὁ	_	_
1	90	[2]	σύμπας	_	_
1	91	[1]	συντεθεὶς	_	_
1	92	[3]	τοῦ	_	_
1	93	[4]	ε	_	_
1	94	[4]	·	b	_
1	95	[1]	ἔστιν	_	_
1	96	[2]	ἄρα	_	_
1	97	[1]	ὡς	_	_
1	98	[3]	ὁ	_	_
1	99	[3]	ι	_	_
1	100	[1]	πρὸς	_	_
1	101	[1]	τὴν	_	_
1	102	[1]	μονάδα	_	_
1	103	[12]	,	b	_
1	104	[4]	ὁ	_	_
1	105	[3]	σύμπας	_	_
1	106	[2]	πρὸς	_	_
1	107	[1]	τὸν	_	_
1	108	[5]	ε	_	_
1	109	[5]	·	b	_
1	110	[5]	ὁ	_	_
1	111	[3]	ἄρα	_	_
1	112	[1]	ὑπὸ	_	_
1	113	[4]	τοῦ	_	_
1	114	[4]	ι	_	_
1	115	[2]	καὶ	_	_
1	116	[6]	ε	_	_
1	117	[1]	ἴσος	_	_
1	118	[2]	ἐστὶ	_	_
1	119	[1]	τῷ	_	_
1	120	[2]	ὑπὸ	_	_
1	121	[2]	τῆς	_	_
1	122	[3]	μονάδος	_	_
1	123	[3]	καὶ	_	_
1	124	[1]	συμπάντων	_	_
1	125	[13]	,	b	_
1	126	[1]	τουτέστι	_	_
1	127	[2]	τῷ	_	_
1	128	[1]	σύμπαντι	_	_
1	129	[1]	ἀριθμῷ	_	_
1	130	[5]	.	b	_
1	131	[1]	εἰλήφθω	_	_
1	132	[2]	δὴ	_	_
1	133	[6]	ὁ	_	_
1	134	[4]	ἐφεξῆς	_	_
1	135	[3]	τῷ	_	_
1	136	[5]	ι	_	_
1	137	[14]	,	b	_
1	138	[7]	ὁ	_	_
1	139	[1]	κ	_	_
1	140	[6]	·	b	_
1	141	[2]	φανερὸν	_	_
1	142	[3]	δὴ	_	_
1	143	[2]	ὅτι	_	_
1	144	[8]	ὁ	_	_
1	145	[2]	κ	_	_
1	146	[1]	διπλάσιός	_	_
1	147	[2]	ἐστι	_	_
1	148	[5]	τοῦ	_	_
1	149	[7]	ε	_	_
1	150	[15]	,	b	_
1	151	[2]	ἴσος	_	_
1	152	[1]	γάρ	_	_
1	153	[3]	ἐστι	_	_
1	154	[1]	τοῖς	_	_
1	155	[6]	ι	_	_
1	156	[4]	α	_	_
1	157	[7]	·	b	_
1	158	[1]	ἐπεὶ	_	_
1	159	[1]	οὖν	_	_
1	160	[9]	ὁ	_	_
1	161	[7]	ι	_	_
1	162	[2]	τὸν	_	_
1	163	[8]	ε	_	_
1	164	[1]	πολλαπλασιάσας	_	_
1	165	[1]	ποιεῖ	_	_
1	166	[3]	τὸν	_	_
1	167	[1]	σύμπαντα	_	_
1	168	[16]	,	b	_
1	169	[1]	ἐὰν	_	_
1	170	[4]	ἄρα	_	_
1	171	[4]	τὸν	_	_
1	172	[3]	κ	_	_
1	173	[2]	πολλαπλασιάσας	_	_
1	174	[1]	ποιήσῃ	_	_
1	175	[1]	τινά	_	_
1	176	[17]	,	b	_
1	177	[10]	ὁ	_	_
1	178	[1]	γενόμενος	_	_
1	179	[1]	ἔσται	_	_
1	180	[6]	τοῦ	_	_
1	181	[1]	σύμπαντος	_	_
1	182	[1]	διπλασίων	_	_
1	183	[6]	.	b	_
1	184	[1]	ὅταν	_	_
1	185	[5]	ἄρα	_	_
1	186	[3]	ἀπὸ	_	_
1	187	[4]	μονάδος	_	_
1	188	[1]	πλήθους	_	_
1	189	[2]	ἀριθμῶν	_	_
1	190	[5]	ἐφεξῆς	_	_
1	191	[1]	τεθέντος	_	_
1	192	[1]	ἐρωτηθῶμεν	_	_
1	193	[18]	,	b	_
1	194	[1]	πόσος	_	_
1	195	[3]	ἐστὶν	_	_
1	196	[11]	ὁ	_	_
1	197	[4]	σύμπας	_	_
1	198	[1]	συντεθείς	_	_
1	199	[19]	,	b	_
1	200	[2]	ἐὰν	_	_
1	201	[1]	ὦσι	_	_
1	202	[1]	περιττοὶ	_	_
1	203	[3]	τὸ	_	_
1	204	[3]	πλῆθος	_	_
1	205	[20]	,	b	_
1	206	[1]	πολλαπλασιάσομεν	_	_
1	207	[5]	τὸν	_	_
1	208	[1]	μέγιστον	_	_
1	209	[1]	ἐπὶ	_	_
1	210	[6]	τὸν	_	_
1	211	[6]	ἐφεξῆς	_	_
1	212	[1]	αὐτοῦ	_	_
1	213	[1]	μείζονα	_	_
1	214	[4]	καὶ	_	_
1	215	[1]	τούτου	_	_
1	216	[1]	γενομένου	_	_
1	217	[4]	τὸ	_	_
