#urn:cts:greekLit:tlg0561.tlg001.perseus-grc1
"passage"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1.praef	1	[1]	ΠΡΟΟΙΜΙΟΝ	_	_
1.praef.1	1	[1]	Ἐν	_	_
1.praef.1	2	[1]	Λέσβῳ	_	_
1.praef.1	3	[1]	θηρῶν	_	_
1.praef.1	4	[1]	ἐν	_	_
1.praef.1	5	[1]	ἄλσει	_	_
1.praef.1	6	[1]	Νυμφῶν	_	_
1.praef.1	7	[1]	θέαμα	_	_
1.praef.1	8	[1]	εἶδον	_	_
1.praef.1	9	[1]	κάλλιστον	_	_
1.praef.1	10	[1]	ὧν	_	_
1.praef.1	11	[2]	εἶδον	_	_
1.praef.1	12	[1]	·	b	_
1.praef.1	13	[1]	εἰκόνα	_	_
1.praef.1	14	[1]	,	b	_
1.praef.1	15	[1]	γραφήν	_	_
1.praef.1	16	[2]	,	b	_
1.praef.1	17	[1]	ἱστορίαν	_	_
1.praef.1	18	[1]	ἔρωτος	_	_
1.praef.1	19	[1]	.	b	_
1.praef.1	20	[1]	Καλὸν	_	_
1.praef.1	21	[1]	μὲν	_	_
1.praef.1	22	[1]	καὶ	_	_
1.praef.1	23	[1]	τὸ	_	_
1.praef.1	24	[1]	ἄλσος	_	_
1.praef.1	25	[3]	,	b	_
1.praef.1	26	[1]	πολύδενδρον	_	_
1.praef.1	27	[4]	,	b	_
1.praef.1	28	[1]	ἀνθηρόν	_	_
1.praef.1	29	[5]	,	b	_
1.praef.1	30	[1]	κατάρρυτον	_	_
1.praef.1	31	[2]	·	b	_
1.praef.1	32	[1]	μία	_	_
1.praef.1	33	[1]	πηγὴ	_	_
1.praef.1	34	[1]	πάντα	_	_
1.praef.1	35	[1]	ἔτρεφε	_	_
1.praef.1	36	[6]	,	b	_
1.praef.1	37	[2]	καὶ	_	_
1.praef.1	38	[1]	τὰ	_	_
1.praef.1	39	[1]	ἄνθη	_	_
1.praef.1	40	[3]	καὶ	_	_
1.praef.1	41	[2]	τὰ	_	_
1.praef.1	42	[1]	δένδρα	_	_
1.praef.1	43	[3]	·	b	_
1.praef.1	44	[1]	ἀλλ̓	_	_
1.praef.1	45	[1]	ἡ	_	_
1.praef.1	46	[1]	γραφὴ	_	_
1.praef.1	47	[1]	τερπνοτέρα	_	_
1.praef.1	48	[4]	καὶ	_	_
1.praef.1	49	[1]	τέχνην	_	_
1.praef.1	50	[1]	ἔχουσα	_	_
1.praef.1	51	[1]	περιττὴν	_	_
1.praef.1	52	[5]	καὶ	_	_
1.praef.1	53	[1]	τύχην	_	_
1.praef.1	54	[1]	ἐρωτικήν	_	_
1.praef.1	55	[4]	·	b	_
1.praef.1	56	[1]	ὥστε	_	_
1.praef.1	57	[1]	πολλοὶ	_	_
1.praef.1	58	[6]	καὶ	_	_
1.praef.1	59	[1]	τῶν	_	_
1.praef.1	60	[1]	ξένων	_	_
1.praef.1	61	[1]	κατὰ	_	_
1.praef.1	62	[1]	φήμην	_	_
1.praef.1	63	[1]	ᾔεσαν	_	_
1.praef.1	64	[7]	,	b	_
1.praef.1	65	[2]	τῶν	_	_
1.praef.1	66	[2]	μὲν	_	_
1.praef.1	67	[2]	Νυμφῶν	_	_
1.praef.1	68	[1]	ἱκέται	_	_
1.praef.1	69	[8]	,	b	_
1.praef.1	70	[1]	τῆς	_	_
1.praef.1	71	[1]	δὲ	_	_
1.praef.1	72	[1]	εἰκόνος	_	_
1.praef.1	73	[1]	θεαταί	_	_
1.praef.1	74	[2]	.	b	_
1.praef.2	1	[1]	Γυναῖκες	_	_
1.praef.2	2	[1]	ἐπ̓	_	_
1.praef.2	3	[1]	αὐτῆς	_	_
1.praef.2	4	[1]	τίκτουσαι	_	_
1.praef.2	5	[1]	καὶ	_	_
1.praef.2	6	[1]	ἄλλαι	_	_
1.praef.2	7	[1]	σπαργάνοις	_	_
1.praef.2	8	[1]	κοσμοῦσαι	_	_
1.praef.2	9	[1]	·	b	_
1.praef.2	10	[1]	παιδία	_	_
1.praef.2	11	[1]	ἐκκείμενα	_	_
1.praef.2	12	[1]	,	b	_
1.praef.2	13	[1]	ποίμνια	_	_
1.praef.2	14	[1]	τρέφοντα	_	_
1.praef.2	15	[2]	·	b	_
1.praef.2	16	[1]	ποιμένες	_	_
1.praef.2	17	[1]	ἀναιρούμενοι	_	_
1.praef.2	18	[2]	,	b	_
1.praef.2	19	[1]	νέοι	_	_
1.praef.2	20	[1]	συντιθέμενοι	_	_
1.praef.2	21	[3]	·	b	_
1.praef.2	22	[1]	λῃστῶν	_	_
1.praef.2	23	[1]	καταδρομή	_	_
1.praef.2	24	[3]	,	b	_
1.praef.2	25	[1]	πολεμίων	_	_
1.praef.2	26	[1]	ἐμβολή	_	_
1.praef.2	27	[1]	.	b	_
