#urn:cts:greekLit:tlg0610.perseus002.perseus-grc1
"passage"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1	1	[1]	Ἐπειδή	_	_
1	2	[1]	τινες	_	_
1	3	[1]	τῶν	_	_
1	4	[1]	καλουμένων	_	_
1	5	[1]	σοφιστῶν	_	_
1	6	[1]	ἱστορίας	_	_
1	7	[1]	μὲν	_	_
1	8	[1]	καὶ	_	_
1	9	[1]	παιδείας	_	_
1	10	[1]	ἠμελήκασι	_	_
1	11	[2]	καὶ	_	_
1	12	[1]	τοῦ	_	_
1	13	[1]	δύνασθαι	_	_
1	14	[1]	λέγειν	_	_
1	15	[1]	ὁμοίως	_	_
1	16	[1]	τοῖς	_	_
1	17	[1]	ἰδιώταις	_	_
1	18	[1]	ἀπείρως	_	_
1	19	[1]	ἔχουσι	_	_
1	20	[1]	,	b	_
1	21	[1]	γράφειν	_	_
1	22	[1]	δὲ	_	_
1	23	[1]	μεμελετηκότες	_	_
1	24	[1]	λόγους	_	_
1	25	[3]	καὶ	_	_
1	26	[1]	διὰ	_	_
1	27	[1]	βιβλίων	_	_
1	28	[1]	δεικνύντες	_	_
1	29	[1]	τὴν	_	_
1	30	[1]	αὑτῶν	_	_
1	31	[1]	σοφίαν	_	_
1	32	[1]	σεμνύνονται	_	_
1	33	[4]	καὶ	_	_
1	34	[1]	μέγα	_	_
1	35	[1]	φρονοῦσι	_	_
1	36	[5]	καὶ	_	_
1	37	[1]	πολλοστὸν	_	_
1	38	[1]	μέρος	_	_
1	39	[1]	τῆς	_	_
1	40	[1]	ῥητορικῆς	_	_
1	41	[1]	κεκτημένοι	_	_
1	42	[1]	δυνάμεως	_	_
1	43	[2]	τῆς	_	_
1	44	[1]	ὅλης	_	_
1	45	[1]	τέχνης	_	_
1	46	[1]	ἀμφισβητοῦσι	_	_
1	47	[2]	,	b	_
1	48	[2]	διὰ	_	_
1	49	[1]	ταύτην	_	_
1	50	[2]	τὴν	_	_
1	51	[1]	αἰτίαν	_	_
