# urn:cts:greekLit:tlg2115.tlg060.opp-grc1 

"cts"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
MSS	1	[1]	Sigelverzeichnis	_	_
MSS	2	[1]	Buch	_	_
MSS	3	[1]	I	_	_
MSS	4	[1]	L	_	_
MSS	5	[1]	=	_	_
MSS	6	[1]	Laurentiamis	_	_
MSS	7	[1]	IX	_	_
MSS	8	[1]	32	_	_
MSS	9	[1]	0	_	_
MSS	10	[2]	=	_	_
MSS	11	[1]	Ottobonianus	_	_
MSS	12	[1]	194	_	_
MSS	13	[1]	B	_	_
MSS	14	[3]	=	_	_
MSS	15	[1]	Barberinus	_	_
MSS	16	[1]	IV	_	_
MSS	17	[1]	78	_	_
MSS	18	[1]	Τ	_	_
MSS	19	[4]	=	_	_
MSS	20	[1]	Taurinensis	_	_
MSS	21	[1]	C	_	_
MSS	22	[2]	I	_	_
MSS	23	[1]	10	_	_
MSS	24	[2]	Buch	_	_
MSS	25	[2]	IV	_	_
MSS	26	[1]	—	a	_
MSS	27	[1]	X	_	_
MSS	28	[1]	Ρ	_	_
MSS	29	[5]	=	_	_
MSS	30	[1]	Parisinus	_	_
MSS	31	[1]	Suppl	_	_
MSS	32	[1]	.	b	_
MSS	33	[1]	gr	_	_
MSS	34	[2]	.	b	_
MSS	35	[1]	464	_	_
1	1	[1]	<ΤΟΥ	_	_
1	2	[1]	ΚΑΤΑ	_	_
1	3	[1]	ΠΑΣΩΝ	_	_
1	4	[1]	ΑΙΠΕΣΕΩΝ	_	_
1	5	[1]	ΕΛΕΓΧΟΥ	_	_
1	6	[1]	ΒΙΒΛΟΣ	_	_
1	7	[1]	.	b	_
1	8	[1]	>	_	_
1.summary.1	1	[1]	Τάδε	_	_
1.summary.1	2	[1]	ἔνεστιν	_	_
1.summary.1	3	[1]	ἐν	_	_
1.summary.1	4	[1]	τῇ	_	_
1.summary.1	5	[1]	πρώτῃ	_	_
1.summary.1	6	[1]	τοῦ	_	_
1.summary.1	7	[1]	κατὰ	_	_
1.summary.1	8	[1]	πασῶν	_	_
1.summary.1	9	[1]	αἱρέσεων	_	_
1.summary.1	10	[1]	ἐλέγχου	_	_
1.summary.1	11	[1]	·	b	_
1.summary.2	1	[1]	Τίνα	_	_
1.summary.2	2	[1]	τὰ	_	_
1.summary.2	3	[1]	δόξαντα	_	_
1.summary.2	4	[1]	τοῖς	_	_
1.summary.2	5	[1]	φυσικοῖς	_	_
1.summary.2	6	[1]	φιλοσόφοις	_	_
1.summary.2	7	[1]	καὶ	_	_
1.summary.2	8	[1]	τίνες	_	_
1.summary.2	9	[1]	οὖτοι	_	_
1.summary.2	10	[1]	,	b	_
1.summary.2	11	[2]	καὶ	_	_
1.summary.2	12	[1]	τίνα	_	_
1.summary.2	13	[2]	τὰ	_	_
1.summary.2	14	[2]	τοῖς	_	_
1.summary.2	15	[1]	ἠθικοῖς	_	_
1.summary.2	16	[3]	καὶ	_	_
1.summary.2	17	[2]	τίνες	_	_
1.summary.2	18	[1]	οὑτοι	_	_
1.summary.2	19	[2]	,	b	_
1.summary.2	20	[4]	καὶ	_	_
1.summary.2	21	[2]	τίνα	_	_
1.summary.2	22	[3]	τὰ	_	_
1.summary.2	23	[3]	τοῖς	_	_
1.summary.2	24	[1]	διαλεκτικοῖς	_	_
1.summary.2	25	[5]	καὶ	_	_
1.summary.2	26	[3]	τίνες	_	_
1.summary.2	27	[1]	οἱ	_	_
1.summary.2	28	[1]	διαλεκτικοί	_	_
1.summary.2	29	[1]	.	b	_
1.summary.3	1	[1]	Θυσικοὶ	_	_
1.summary.3	2	[1]	μὲν	_	_
1.summary.3	3	[1]	οὖν	_	_
1.summary.3	4	[1]	Θαλῆς	_	_
1.summary.3	5	[1]	Πυθαγόρας	_	_
1.summary.3	6	[1]	Ἐμπεδοκλῆς	_	_
1.summary.3	7	[1]	Ἡράκλειτος	_	_
1.summary.3	8	[1]	Ἀναξίμανδρος	_	_
1.summary.3	9	[1]	Ἀναξιμένης	_	_
1.summary.3	10	[1]	Ἀναξαγόρας	_	_
1.summary.3	11	[1]	Ἀρχέλαος	_	_
1.summary.3	12	[1]	Παρμενίδης	_	_
1.summary.3	13	[1]	Λεύκιππος	_	_
1.summary.3	14	[1]	Δημόκριτος	_	_
1.summary.3	15	[1]	Ξενοφάνης	_	_
1.summary.3	16	[1]	Ἔχφαντος	_	_
1.summary.3	17	[1]	Ἲππων	_	_
1.summary.3	18	[1]	.	b	_
1.summary.4	1	[1]	Ἠθικοὶ	_	_
1.summary.4	2	[1]	Σωκράτης	_	_
1.summary.4	3	[1]	Ἀρχελάου	_	_
1.summary.4	4	[1]	μαθητὴς	_	_
1.summary.4	5	[1]	τοῦ	_	_
1.summary.4	6	[1]	φυσικοῦ	_	_
1.summary.4	7	[1]	,	b	_
1.summary.4	8	[1]	Πλάτων	_	_
1.summary.4	9	[1]	Σωκράτους	_	_
1.summary.4	10	[1]	μαθητής	_	_
1.summary.4	11	[1]	·	b	_
1.summary.4	12	[1]	οὑτος	_	_
1.summary.4	13	[1]	τὰς	_	_
1.summary.4	14	[1]	τρεῖς	_	_
1.summary.4	15	[1]	φιλοσοφίας	_	_
1.summary.4	16	[1]	ἔμιξεν	_	_
1.summary.4	17	[1]	.	b	_
1.summary.5	1	[1]	Διαλεκτικοὶ	_	_
1.summary.5	2	[1]	Ἀριστοτέλης	_	_
1.summary.5	3	[1]	Πλάτωνος	_	_
1.summary.5	4	[1]	μαθητής	_	_
1.summary.5	5	[1]	·	b	_
1.summary.5	6	[1]	οὗτος	_	_
1.summary.5	7	[1]	τὴν	_	_
1.summary.5	8	[1]	διαλεκτικὴν	_	_
1.summary.5	9	[1]	συνεστήσατο	_	_
1.summary.5	10	[1]	.	b	_
1.summary.5	11	[1]	Στωϊκοὶ	_	_
1.summary.5	12	[1]	δὲ	_	_
1.summary.5	13	[1]	Χρύσιππος	_	_
1.summary.5	14	[1]	,	b	_
1.summary.5	15	[1]	Ζήνων	_	_
1.summary.5	16	[2]	.	b	_
1.summary.6	1	[1]	Ἐπίκουρος	_	_
1.summary.6	2	[1]	δὲ	_	_
1.summary.6	3	[1]	σχεδὸν	_	_
1.summary.6	4	[1]	ἐναντίαν	_	_
1.summary.6	5	[1]	δόξαν	_	_
1.summary.6	6	[1]	πᾶσιν	_	_
1.summary.6	7	[1]	ἐπεχείρησε	_	_
1.summary.6	8	[1]	.	b	_
1.summary.6	9	[1]	Πύρρων	_	_
1.summary.6	10	[1]	ὁ	_	_
1.summary.6	11	[1]	Ἀκαθήμοις	_	_
1.summary.6	12	[1]	·	b	_
1.summary.6	13	[1]	οὑτος	_	_
1.summary.6	14	[1]	ἀκαταληψίαν	_	_
1.summary.6	15	[1]	τῶν	_	_
1.summary.6	16	[1]	πάντων	_	_
1.summary.6	17	[1]	λέγειλ	_	_
1.summary.6	18	[2]	.	b	_
1.summary.6	19	[1]	Βραχμᾶνες	_	_
1.summary.6	20	[1]	οἱ	_	_
1.summary.6	21	[1]	ἐν	_	_
1.summary.6	22	[1]	Ἰνδοῖς	_	_
1.summary.6	23	[1]	,	b	_
1.summary.6	24	[1]	Δρυίδαι	_	_
1.summary.6	25	[2]	οἱ	_	_
1.summary.6	26	[2]	ἐν	_	_
1.summary.6	27	[1]	Κελτοῖς	_	_
1.summary.6	28	[2]	,	b	_
1.summary.6	29	[1]	καὶ	_	_
1.summary.6	30	[1]	Ἡσίοδος	_	_
1.summary.6	31	[3]	.	b	_
1.praef.1	1	[1]	οὐδένα	_	_
1.praef.1	2	[1]	μῦθον	_	_
1.praef.1	3	[1]	τῶν	_	_
1.praef.1	4	[1]	παρ	_	_
1.praef.1	5	[1]	’	b	_
1.praef.1	6	[1]	Ελλησι	_	_
1.praef.1	7	[1]	ὠνομασμένων	_	_
1.praef.1	8	[1]	παραιτητέον	_	_
1.praef.1	9	[1]	.	b	_
1.praef.1	10	[1]	πιστὰ	_	_
1.praef.1	11	[1]	γὰρ	_	_
1.praef.1	12	[1]	καὶ	_	_
1.praef.1	13	[1]	τὰ	_	_
1.praef.1	14	[1]	ἀσύστατα	_	_
1.praef.1	15	[1]	αὐτῶν	_	_
1.praef.1	16	[1]	δόγματα	_	_
1.praef.1	17	[1]	ἡγητέον	_	_
1.praef.1	18	[1]	διὰ	_	_
1.praef.1	19	[1]	τὴν	_	_
1.praef.1	20	[1]	ὑπερβάλλουσαν	_	_
1.praef.1	21	[2]	τῶν	_	_
1.praef.1	22	[1]	αἱρετικῶν	_	_
1.praef.1	23	[1]	μανίαν	_	_
1.praef.1	24	[1]	,	b	_
1.praef.1	25	[1]	οἳ	_	_
1.praef.1	26	[2]	διὰ	_	_
1.praef.1	27	[1]	τὸ	_	_
1.praef.1	28	[1]	σιωπᾶν	_	_
1.praef.1	29	[1]	ἀποκρύπτειν	_	_
1.praef.1	30	[1]	τε	_	_
1.praef.1	31	[2]	τὰ	_	_
1.praef.1	32	[1]	ἄρρητα	_	_
1.praef.1	33	[1]	ἑαυτῶν	_	_
1.praef.1	34	[1]	μυστήρια	_	_
1.praef.1	35	[1]	ἐνομίσθησαν	_	_
1.praef.1	36	[1]	πολλοῖς	_	_
1.praef.1	37	[1]	θεὸν	_	_
1.praef.1	38	[1]	σέβειν	_	_
1.praef.1	39	[1]	·	b	_
1.praef.1	40	[1]	ὦν	_	_
1.praef.1	41	[2]	καὶ	_	_
1.praef.1	42	[1]	πάλαι	_	_
1.praef.1	43	[1]	μετρίως	_	_
1.praef.1	44	[3]	τὰ	_	_
1.praef.1	45	[2]	δόγματα	_	_
1.praef.1	46	[1]	ἐξεθέμεθα	_	_
1.praef.1	47	[2]	,	b	_
1.praef.1	48	[1]	οὐ	_	_
1.praef.1	49	[1]	κατὰ	_	_
1.praef.1	50	[1]	λεπτὸν	_	_
1.praef.1	51	[1]	ἐπιδείξαντες	_	_
1.praef.1	52	[3]	,	b	_
1.praef.1	53	[1]	ἀλλ	_	_
1.praef.1	54	[1]	ἁδρομερῶς	_	_
1.praef.1	55	[1]	ἐλέγξαντες	_	_
1.praef.1	56	[4]	,	b	_
1.praef.1	57	[1]	μὴ	_	_
1.praef.1	58	[1]	†	a	_
1.praef.1	59	[1]	ἂν	_	_
1.praef.1	60	[1]	ἄξιον	_	_
1.praef.1	61	[1]	ἡγησάμενοι	_	_
1.praef.1	62	[4]	τὰ	_	_
1.praef.1	63	[2]	ἄρρητα	_	_
1.praef.1	64	[1]	εἰς	_	_
1.praef.1	65	[1]	φῶς	_	_
1.praef.1	66	[1]	ἄγειν	_	_
1.praef.1	67	[5]	,	b	_
1.praef.1	68	[1]	ὅπως	_	_
1.praef.1	69	[6]	,	b	_
1.praef.1	70	[1]	δι	_	_
1.praef.1	71	[1]	'	b	_
1.praef.1	72	[1]	αἰνιγμάτων	_	_
1.praef.1	73	[1]	ἡμῶν	_	_
1.praef.1	74	[1]	ἐκθεμένων	_	_
1.praef.1	75	[5]	τὰ	_	_
1.praef.1	76	[1]	δόξαντα	_	_
1.praef.1	77	[1]	αὐτοῖς	_	_
1.praef.1	78	[1]	αἰσχυνθέντες	_	_
1.praef.1	79	[7]	,	b	_
1.praef.1	80	[1]	μήποτε	_	_
1.praef.1	81	[3]	καὶ	_	_
1.praef.1	82	[6]	τὰ	_	_
1.praef.1	83	[3]	ἄρρητα	_	_
1.praef.1	84	[1]	ἐξειπόντες	_	_
1.praef.1	85	[1]	ἀθέους	_	_
1.praef.1	86	[1]	ἐπιδείξωμεν	_	_
1.praef.1	87	[8]	,	b	_
1.praef.1	88	[1]	παύσωνταί	_	_
1.praef.1	89	[1]	τι	_	_
1.praef.1	90	[1]	τῆς	_	_
1.praef.1	91	[1]	ἀλογίστου	_	_
