# urn:cts:greekLit:tlg2255.perseus002.perseus-grc1 

"cts"	"running id"	"nth occurrence"	"word form"	"join-(b)efore/join-(a)fter"	"original tag"
1	1	[1]	Ἡ	_	_
1	2	[1]	μὲν	_	_
1	3	[1]	κατηγορία	_	_
1	4	[1]	καὶ	_	_
1	5	[1]	[	a	_
1	6	[1]	ἡ	_	_
1	7	[1]	ἀπολογία	_	_
1	8	[1]	]	b	_
1	9	[1]	κρίσις	_	_
1	10	[1]	οὐ	_	_
1	11	[1]	περὶ	_	_
1	12	[1]	θανάτου	_	_
1	13	[1]	γίγνεται	_	_
1	14	[1]	·	b	_
1	15	[1]	θάνατον	_	_
1	16	[2]	μὲν	_	_
1	17	[1]	γὰρ	_	_
1	18	[2]	ἡ	_	_
1	19	[1]	φύσις	_	_
1	20	[1]	φανερᾷ	_	_
1	21	[1]	τῇ	_	_
1	22	[1]	ψήφῳ	_	_
1	23	[1]	πάντων	_	_
1	24	[1]	κατεψηφίσατο	_	_
1	25	[1]	τῶν	_	_
1	26	[1]	θνητῶν	_	_
1	27	[1]	,	b	_
1	28	[1]	ᾗπερ	_	_
1	29	[1]	ἡμέρᾳ	_	_
1	30	[1]	τις	_	"add"
1	31	[1]	ἐγένετο	_	_
1	32	[2]	·	b	_
1	33	[2]	περὶ	_	_
1	34	[1]	δὲ	_	_
1	35	[1]	τῆς	_	_
1	36	[1]	ἀτιμίας	_	_
1	37	[2]	καὶ	_	_
1	38	[2]	τῆς	_	_
1	39	[1]	τιμῆς	_	_
1	40	[1]	ὁ	_	_
1	41	[1]	κίνδυνός	_	_
1	42	[1]	ἐστι	_	_
1	43	[2]	,	b	_
1	44	[1]	πότερά	_	_
1	45	[1]	με	_	_
1	46	[1]	χρὴ	_	_
1	47	[1]	.	b	_
1	48	[2]	.	b	_
1	49	[3]	.	b	_
1	50	[1]	δικαίως	_	_
1	51	[1]	ἀποθανεῖν	_	_
1	52	[3]	,	b	_
1	53	[1]	ἢ	_	_
1	54	[1]	μετ᾿	_	_
1	55	[1]	ὀνειδῶν	_	_
1	56	[1]	μεγίστων	_	_
1	57	[3]	καὶ	_	_
1	58	[3]	τῆς	_	_
1	59	[1]	αἰσχίστης	_	_
1	60	[1]	αἰτίας	_	_
1	61	[1]	βιαίως	_	_
1	62	[2]	ἀποθανεῖν	_	_
1	63	[4]	.	b	_
2	1	[1]	δισσῶν	_	_
2	2	[1]	δὲ	_	_
2	3	[1]	τούτων	_	_
2	4	[1]	ὄντων	_	_
2	5	[1]	τοῦ	_	_
2	6	[1]	μὲν	_	_
2	7	[1]	ὑμεῖς	_	_
2	8	[1]	ὅλου	_	_
2	9	[1]	κρατεῖτε	_	_
2	10	[1]	,	b	_
2	11	[2]	τοῦ	_	_
2	12	[1]	δ᾿	_	_
2	13	[1]	ἐγώ	_	_
2	14	[2]	,	b	_
2	15	[1]	τῆς	_	_
2	16	[2]	μὲν	_	_
2	17	[1]	δίκης	_	_
2	18	[2]	ἐγώ	_	_
2	19	[3]	,	b	_
2	20	[2]	τῆς	_	_
2	21	[2]	δὲ	_	_
2	22	[1]	βίας	_	_
2	23	[2]	ὑμεῖς	_	_
2	24	[1]	.	b	_
2	25	[1]	ἀποκτεῖναι	_	_
2	26	[3]	μὲν	_	_
2	27	[1]	γάρ	_	_
2	28	[1]	με	_	_
2	29	[1]	δυνήσεσθε	_	_
2	30	[1]	βουλόμενοι	_	_
2	31	[1]	ῥᾳδίως	_	_
2	32	[1]	·	b	_
2	33	[2]	κρατεῖτε	_	_
2	34	[1]	γὰρ	_	_
2	35	[1]	καὶ	_	_
2	36	[2]	τούτων	_	_
2	37	[4]	,	b	_
2	38	[1]	ὧν	_	_
2	39	[1]	οὐδὲν	_	_
2	40	[1]	ἐγὼ	_	_
2	41	[1]	τυγχάνω	_	_
2	42	[1]	κρατῶν	_	_
2	43	[2]	.	b	_
3	1	[1]	Εἰ	_	_
3	2	[1]	μὲν	_	_
3	3	[1]	οὖν	_	_
3	4	[1]	ὁ	_	_
3	5	[1]	κατήγορος	_	_
3	6	[1]	Ὀδυσσεὺς	_	_
3	7	[1]	ἢ	_	_
3	8	[1]	σαφῶς	_	_
3	9	[1]	ἐπιστάμενος	_	_
3	10	[1]	προδιδόντα	_	_
3	11	[1]	με	_	_
3	12	[1]	τὴν	_	_
3	13	[1]	Ἑλλάδα	_	_
3	14	[1]	τοῖς	_	_
3	15	[1]	βαρβάροις	_	_
3	16	[2]	ἢ	_	_
3	17	[1]	δοξάζων	_	_
3	18	[1]	οὕτω	_	_
3	19	[1]	ταῦτ᾿	_	_
3	20	[1]	ἔχειν	_	_
3	21	[1]	ἐποιεῖτο	_	_
3	22	[2]	τὴν	_	_
3	23	[1]	κατηγορίαν	_	_
3	24	[1]	δι᾿	_	_
3	25	[1]	εὔνοιαν	_	_
3	26	[1]	τῆς	_	_
3	27	[1]	Ἑλλάδος	_	_
3	28	[1]	,	b	_
3	29	[1]	ἄριστος	_	_
3	30	[1]	ἂν	_	_
3	31	[1]	ἦν	_	_
3	32	[1]	[	a	_
3	33	[2]	ὁ	_	_
3	34	[1]	]	b	_
3	35	[1]	ἀνήρ	_	_
3	36	[1]	·	b	_
3	37	[1]	πῶς	_	_
3	38	[1]	γὰρ	_	_
3	39	[1]	οὐχ	_	"add"
3	40	[1]	ὅ	_	_
3	41	[1]	γε	_	_
3	42	[1]	σῴζων	_	_
3	43	[1]	πατρίδα	_	_
3	44	[2]	,	b	_
3	45	[1]	τοκέας	_	_
3	46	[3]	,	b	_
3	47	[3]	τὴν	_	_
3	48	[1]	πᾶσαν	_	_
3	49	[2]	Ἑλλάδα	_	_
3	50	[4]	,	b	_
3	51	[1]	ἔτι	_	_
3	52	[1]	δὲ	_	_
3	53	[1]	πρὸς	_	_
3	54	[1]	τούτοις	_	_
3	55	[1]	τὸν	_	_
3	56	[1]	ἀδικοῦντα	_	_
3	57	[1]	τιμωρούμενος	_	_
3	58	[1]	;	b	_
3	59	[1]	εἰ	_	_
3	60	[2]	δὲ	_	_
3	61	[1]	φθόνῳ	_	_
3	62	[1]	καὶ	_	_
3	63	[1]	κακοτεχνίᾳ	_	_
3	64	[2]	καὶ	_	_
3	65	[1]	πανουργίᾳ	_	_
3	66	[1]	συνέθηκε	_	_
3	67	[1]	ταύτην	_	_
3	68	[4]	τὴν	_	_
3	69	[1]	αἰτίαν	_	_
3	70	[5]	,	b	_
3	71	[1]	ὥσπερ	_	_
3	72	[2]	δι᾿	_	_
3	73	[1]	ἐκεῖνα	_	_
3	74	[1]	κράτιστος	_	_
3	75	[2]	ἂν	_	_
3	76	[2]	ἦν	_	_
3	77	[2]	ἀνήρ	_	_
3	78	[6]	,	b	_
3	79	[2]	οὕτω	_	_
3	80	[1]	διὰ	_	_
3	81	[1]	ταῦτα	_	_
3	82	[1]	κάκιστος	_	_
3	83	[3]	ἀνήρ	_	_
3	84	[1]	.	b	_
4	1	[1]	Περὶ	_	_
4	2	[1]	τούτων	_	_
4	3	[1]	δὲ	_	_
4	4	[1]	λέγων	_	_
4	5	[1]	πόθεν	_	_
4	6	[1]	ἄρξωμαι	_	_
4	7	[1]	;	b	_
4	8	[1]	τί	_	_
4	9	[2]	δὲ	_	_
4	10	[1]	πρῶτον	_	_
4	11	[1]	εἴπω	_	_
4	12	[2]	;	b	_
4	13	[1]	ποῖ	_	_
4	14	[3]	δὲ	_	_
4	15	[1]	τῆς	_	_
4	16	[1]	ἀπολογίας	_	_
4	17	[1]	τράπωμαι	_	_
4	18	[3]	;	b	_
4	19	[1]	αἰτία	_	_
4	20	[1]	γὰρ	_	_
4	21	[1]	ἀνεπίδεικτος	_	_
4	22	[1]	ἔκπληξιν	_	_
4	23	[1]	ἐμφανῆ	_	_
4	24	[1]	ἐμποιεῖ	_	_
4	25	[1]	,	b	_
4	26	[1]	διὰ	_	_
4	27	[4]	δὲ	_	_
4	28	[1]	τὴν	_	_
4	29	[2]	ἔκπληξιν	_	_
4	30	[1]	ἀπορεῖν	_	_
4	31	[1]	ἀνάγκη	_	_
4	32	[1]	τῷ	_	_
4	33	[1]	λόγῳ	_	_
4	34	[2]	,	b	_
4	35	[1]	ἂν	_	_
4	36	[1]	μή	_	_
4	37	[1]	τι	_	_
4	38	[1]	παρ᾿	_	_
4	39	[1]	αὐτῆς	_	_
4	40	[2]	τῆς	_	_
4	41	[1]	ἀληθείας	_	_
4	42	[1]	καὶ	_	_
4	43	[3]	τῆς	_	_
4	44	[1]	παρούσης	_	_
4	45	[1]	ἀνάγκης	_	_
4	46	[1]	μάθω	_	_
4	47	[3]	,	b	_
4	48	[1]	διδασκάλων	_	_
4	49	[1]	ἐπικινδυνοτέρων	_	_
4	50	[1]	ἢ	_	_
4	51	[1]	ποριμωτέρων	_	_
4	52	[1]	τυχών	_	_
4	53	[1]	.	b	_
